Group	Namespace	Name	DeployedAs	RunsOn	IsOperator	Default SCC	RunLevel	HostIPC	HostNetwork	HostPID	RunAsNonRoot	RunAsGroup	RunAsUser	SELinuxOptions	SeccompProfile	Capabilities	Privileged	ReadOnlyRootFilesystem	AllowPrivilegeEscalation	InboundTraffic?	ExternallyExposed?	IncomingConnections	OutgoingConnections	HostMounts
auth	authentication-operator	authentication-operator	Deployment	master nodes	true	anyuid		false	false	false	false		0	&SELinuxOptions{User:,Role:,Type:,Level:s0:c15,c10,}	nil	&Capabilities{Add:[],Drop:[MKNOD],}	false	false	false	true	false	kube control plane/kube-scheduler/StaticPods/kube-scheduler,networking/dns/DaemonSet/dns-default,auth/authentication/Deployment/oauth-openshift,kube control plane/kube-apiserver/StaticPods/kube-apiserver	kube control plane/kube-scheduler/StaticPods/kube-scheduler,auth/authentication/Deployment/oauth-openshift	
auth	authentication	oauth-openshift	Deployment	master nodes	false	privileged		false	false	false	false		0	nil	nil	nil	true	false	false	true	true	networking/ingress/Deployment/router-default,auth/authentication-operator/Deployment/authentication-operator,kube control plane/kube-apiserver/StaticPods/kube-apiserver	networking/ingress/Deployment/router-default,auth/authentication-operator/Deployment/authentication-operator	
auth	oauth-apiserver	apiserver	Deployment	master nodes	false	privileged		false	false	false	false		0	nil	nil	nil	true	false	false	true	false	kube control plane/kube-apiserver/StaticPods/kube-apiserver		
console	console-operator	console-operator	Deployment	master nodes	true	restricted-v2		false	false	false	true		1000650000	&SELinuxOptions{User:,Role:,Type:,Level:s0:c26,c0,}	&SeccompProfile{Type:RuntimeDefault,LocalhostProfile:nil,}	&Capabilities{Add:[],Drop:[ALL],}	false	false	false	true	false	kube control plane/kube-apiserver-operator/Deployment/kube-apiserver-operator,kube control plane/kube-apiserver/StaticPods/kube-apiserver	kube control plane/kube-apiserver-operator/Deployment/kube-apiserver-operator	
console	console	console	Deployment	master nodes	false	restricted-v2		false	false	false	true		1000640000	&SELinuxOptions{User:,Role:,Type:,Level:s0:c25,c20,}	&SeccompProfile{Type:RuntimeDefault,LocalhostProfile:nil,}	&Capabilities{Add:[],Drop:[ALL],}	false	false	false	true	true	networking/ingress/Deployment/router-default,networking/dns/DaemonSet/dns-default,kube control plane/kube-apiserver/StaticPods/kube-apiserver	networking/ingress/Deployment/router-default	/etc/pki/ca-trust/extracted/pem
console	console	downloads	Deployment	worker nodes	false	restricted-v2		false	false	false	true		1000640000	&SELinuxOptions{User:,Role:,Type:,Level:s0:c25,c20,}	&SeccompProfile{Type:RuntimeDefault,LocalhostProfile:nil,}	&Capabilities{Add:[],Drop:[ALL],}	false	false	false	true	true	networking/ingress/Deployment/router-default	networking/ingress/Deployment/router-default	
kube control plane	etcd-operator	etcd-operator	Deployment	master nodes	true		0	false	false	false	false			nil	nil	nil	false	false	false	true	false	networking/dns/DaemonSet/dns-default,kube control plane/kube-apiserver/StaticPods/kube-apiserver		
kube control plane	etcd	etcd	StaticPods	master nodes	false	privileged	0	false	true	false	false			nil	nil	nil	true	false	false	true	false	kube control plane/kube-apiserver/StaticPods/kube-apiserver		/etc/kubernetes/manifests,/etc/kubernetes/static-pod-resources,/etc/kubernetes/static-pod-certs
kube control plane	kube-apiserver-operator	kube-apiserver-operator	Deployment	master nodes	true		0	false	false	false	false			nil	nil	nil	false	false	false	true	false	machine management/machine-api/Service/machine-api-operator-webhook,machine management/machine-api/Deployment/machine-api-controllers,machine management/machine-api/Deployment/cluster-autoscaler-operator,networking/dns/DaemonSet/dns-default,console/console-operator/Deployment/console-operator,storage/cluster-storage-operator/Service/csi-snapshot-webhook,machine management/cluster-node-tuning-operator/Deployment/cluster-node-tuning-operator,openshift control plane/cloud-credential-operator/Deployment/pod-identity-webhook,kube control plane/kube-apiserver/StaticPods/kube-apiserver	machine management/machine-api/Deployment/machine-api-controllers,console/console-operator/Deployment/console-operator,storage/cluster-storage-operator/Deployment/csi-snapshot-webhook,openshift control plane/cloud-credential-operator/Deployment/pod-identity-webhook	
kube control plane	kube-apiserver	kube-apiserver	StaticPods	master nodes	false	privileged	0	false	true	false	false			nil	nil	nil	true	false	false	true	false	networking/ingress/Deployment/router-default	networking/service-ca-operator/Deployment/service-ca-operator,networking/service-ca/Deployment/service-ca,networking/route-controller-manager/Deployment/route-controller-manager,auth/oauth-apiserver/Deployment/apiserver,networking/network-diagnostics/Deployment/network-check-source,networking/multus/DaemonSet/network-metrics-daemon,networking/multus/Deployment/multus-admission-controller,machine management/machine-config-operator/Deployment/machine-config-operator,machine management/machine-config-operator/Deployment/machine-config-controller,machine management/machine-api/Deployment/machine-api-operator,machine management/machine-api/Deployment/machine-api-controllers,machine management/machine-api/Deployment/control-plane-machine-set-operator,machine management/machine-api/Deployment/cluster-autoscaler-operator,storage/kube-storage-version-migrator-operator/Deployment/kube-storage-version-migrator-operator,kube control plane/kube-scheduler-operator/Deployment/openshift-kube-scheduler-operator,kube control plane/kube-scheduler/StaticPods/kube-scheduler,kube control plane/kube-controller-manager-operator/Deployment/kube-controller-manager-operator,kube control plane/kube-apiserver-operator/Deployment/kube-apiserver-operator,networking/ingress-operator/Deployment/ingress-operator,networking/ingress/Deployment/router-default,storage/image-registry/Deployment/image-registry,storage/image-registry/Deployment/cluster-image-registry-operator,kube control plane/etcd-operator/Deployment/etcd-operator,kube control plane/etcd/StaticPods/etcd,networking/dns-operator/Deployment/dns-operator,networking/dns/DaemonSet/dns-default,openshift control plane/controller-manager-operator/Deployment/openshift-controller-manager-operator,openshift control plane/controller-manager/Deployment/controller-manager,console/console-operator/Deployment/console-operator,console/console/Deployment/console,storage/cluster-storage-operator/Deployment/csi-snapshot-webhook,storage/cluster-storage-operator/Deployment/csi-snapshot-controller-operator,storage/cluster-storage-operator/Deployment/cluster-storage-operator,other/cluster-samples-operator/Deployment/cluster-samples-operator,machine management/cluster-node-tuning-operator/Deployment/cluster-node-tuning-operator,other/cluster-csi-drivers/Deployment/aws-ebs-csi-driver-operator,other/cluster-csi-drivers/Deployment/aws-ebs-csi-driver-controller,openshift control plane/cloud-credential-operator/Deployment/cloud-credential-operator,auth/authentication-operator/Deployment/authentication-operator,auth/authentication/Deployment/oauth-openshift,openshift control plane/apiserver-operator/Deployment/openshift-apiserver-operator,openshift control plane/apiserver/Deployment/apiserver	/etc/kubernetes/static-pod-resources,/etc/kubernetes/static-pod-certs
