TimeFlowStartMs,TimeFlowEndMs,TimeReceived,DstK8S_OwnerName,FlowDirection,SrcK8S_Namespace,SrcK8S_OwnerName,app,DstK8S_Namespace,AgentIP,DstPort,Etype,SrcMac,Proto,Bytes,DstK8S_Name,DstK8S_OwnerType,SrcK8S_Type,DstAddr,Duplicate,DstMac,SrcK8S_OwnerType,DstK8S_Type,Packets,SrcPort,DstK8S_HostName,Interface,Flags,IfDirection,DstK8S_HostIP,SrcAddr,SrcK8S_Name
1.681781299958e+12,1.681781299958e+12,1.681781304e+09,service-ca-operator,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca-operator,10.0.175.252,58818,2048,0A:CD:5D:5B:3D:45,6,66,service-ca-operator-6cd95c4d74-p6kbq,Deployment,Service,10.129.0.10,false,0A:58:0A:81:00:0A,Service,Pod,1,443,ip-10-0-175-252.eu-west-3.compute.internal,ed62b69a237eabf,16,1,10.0.175.252,172.30.0.1,kubernetes
1.681780735095e+12,1.681780735095e+12,1.681780739e+09,service-ca-operator,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca-operator,10.0.175.252,58818,2048,0A:CD:5D:5B:3D:45,6,66,service-ca-operator-6cd95c4d74-p6kbq,Deployment,Service,10.129.0.10,false,0A:58:0A:81:00:0A,Service,Pod,1,443,ip-10-0-175-252.eu-west-3.compute.internal,ed62b69a237eabf,16,1,10.0.175.252,172.30.0.1,kubernetes
1.681779329263e+12,1.681779329263e+12,1.681779334e+09,service-ca-operator,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca-operator,10.0.175.252,58818,2048,0A:CD:5D:5B:3D:45,6,666,service-ca-operator-6cd95c4d74-p6kbq,Deployment,Service,10.129.0.10,false,0A:58:0A:81:00:0A,Service,Pod,1,443,ip-10-0-175-252.eu-west-3.compute.internal,ed62b69a237eabf,16,1,10.0.175.252,172.30.0.1,kubernetes
1.681778899401e+12,1.681778899401e+12,1.681778904e+09,service-ca-operator,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca-operator,10.0.175.252,58818,2048,0A:CD:5D:5B:3D:45,6,250,service-ca-operator-6cd95c4d74-p6kbq,Deployment,Service,10.129.0.10,false,0A:58:0A:81:00:0A,Service,Pod,1,443,ip-10-0-175-252.eu-west-3.compute.internal,ed62b69a237eabf,16,1,10.0.175.252,172.30.0.1,kubernetes
1.681778324681e+12,1.681778324681e+12,1.681778329e+09,service-ca-operator,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca-operator,10.0.175.252,58818,2048,0A:CD:5D:5B:3D:45,6,133,service-ca-operator-6cd95c4d74-p6kbq,Deployment,Service,10.129.0.10,false,0A:58:0A:81:00:0A,Service,Pod,1,443,ip-10-0-175-252.eu-west-3.compute.internal,ed62b69a237eabf,16,1,10.0.175.252,172.30.0.1,kubernetes
1.681781401042e+12,1.681781401042e+12,1.681781401e+09,service-ca,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca,10.0.136.230,41322,2048,0A:58:0A:80:00:01,6,97,service-ca-7bd9547b57-6tw97,Deployment,Service,10.128.0.7,false,0A:58:0A:80:00:07,Service,Pod,1,443,ip-10-0-136-230.eu-west-3.compute.internal,1e741a0d5dacb62,16,1,10.0.136.230,172.30.0.1,kubernetes
1.681780946622e+12,1.681780946622e+12,1.681780946e+09,service-ca,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca,10.0.136.230,41322,2048,0A:58:0A:80:00:01,6,677,service-ca-7bd9547b57-6tw97,Deployment,Service,10.128.0.7,false,0A:58:0A:80:00:07,Service,Pod,1,443,ip-10-0-136-230.eu-west-3.compute.internal,1e741a0d5dacb62,16,1,10.0.136.230,172.30.0.1,kubernetes
1.681780770024e+12,1.681780770024e+12,1.681780771e+09,service-ca,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca,10.0.136.230,41322,2048,0A:58:0A:80:00:01,6,66,service-ca-7bd9547b57-6tw97,Deployment,Service,10.128.0.7,false,0A:58:0A:80:00:07,Service,Pod,1,443,ip-10-0-136-230.eu-west-3.compute.internal,1e741a0d5dacb62,16,1,10.0.136.230,172.30.0.1,kubernetes
1.681780733693e+12,1.681780733693e+12,1.681780736e+09,service-ca,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca,10.0.136.230,41322,2048,0A:58:0A:80:00:01,6,66,service-ca-7bd9547b57-6tw97,Deployment,Service,10.128.0.7,false,0A:58:0A:80:00:07,Service,Pod,1,443,ip-10-0-136-230.eu-west-3.compute.internal,1e741a0d5dacb62,16,1,10.0.136.230,172.30.0.1,kubernetes
1.681780506993e+12,1.681780506993e+12,1.681780511e+09,service-ca,0,default,kubernetes,netobserv-flowcollector,openshift-service-ca,10.0.136.230,41322,2048,0A:58:0A:80:00:01,6,214,service-ca-7bd9547b57-6tw97,Deployment,Service,10.128.0.7,false,0A:58:0A:80:00:07,Service,Pod,1,443,ip-10-0-136-230.eu-west-3.compute.internal,1e741a0d5dacb62,16,1,10.0.136.230,172.30.0.1,kubernetes
